case_id,parameter,estimate,lower,upper,transform,near_bound,status,interpretation,analysis_status,checkpoint_sha256
chi_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,psi_child,0.28298339775274217,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,chi,1.0748015581972359,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,psi_child,0.2823942438362474,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
chi_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8
H0_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,H0,8.266147196322741,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,psi_child,0.283927072312628,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17
H0_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,H0,8.603540959437957,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,psi_child,0.28149472603086895,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
H0_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f
theta0_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,theta0,0.5589428924146935,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab
theta0_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,theta0,0.5817568880234565,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta0_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979
theta1_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,theta1,0.10164947157861613,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57
theta1_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,theta1,0.10579842960223311,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
theta1_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92
